Url,NameOfPainting,ArtistName,Size,Price,Views,Favorites,Medium,PaintingSurface,ArtistCountry,ShipmentMode,ArtistRecognition,Keywords,Date,Subject
"https://www.saatchiart.com/art/Painting-Library/667471/2404173/view","Library","Helen Dryden","62.41","340","553","17","Acrylic","Canvas","United Kingdom","Artist featured in a collection","Ships in a cardboard box","acrylic, people, psychedelic, rave, utopia, dance, painnting, music, night","2014.08.02","Popular culture"
"https://www.saatchiart.com/art/Painting-Six-Ways-of-Looking-at-an-Aspen/944995/3324449/view","Six Ways of Looking at an Aspen","Meredith Nemirov","144","3850","93","4","Oil","Canvas","United States","Artist featured in a collection","Ships in a cardboard box","trees, aspen tree, forest, Nature based abstraction, nature","2013.12.31","Nature"
"https://www.saatchiart.com/art/Painting-Sun-garden/678329/2888120/view","Sun garden","Leon Art","1552.36","6550","443","29","Oil","Canvas","Germany","Artist featured in a collection","Ships in a cardboard box","peonies, rowan, summer, flowers, garden, autumn","2015.12.15","Floral"
"https://www.saatchiart.com/art/Painting-Craigslists-Favorite/703825/2492543/view","Craigslists Favorite","Lia Harkes","4466.7","4910","485","12","Acrylic, Oil","Canvas, Soft (Yarn, Cotton, Fabric)","Netherlands","Artist featured in a collection","Ships in a cardboard box","painting, canvas, DUTCH, classic, lia harkes, art, interiour, modern","2014.12.29","Interiors"
"https://www.saatchiart.com/art/Painting-Untitled-603/651106/3427358/view","Untitled -603","Ira Ivanova","556.96","880","607","43","Acrylic, Pastel","Canvas","Norway","Featured in the Catalog","Ships in a cardboard box","passions, beauty, shapes, bright colors, expresion, composition, connection, depends spots, clean liness, harmony, joy, balance","2015.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-Morning-Chill/12463/2578894/view","Morning Chill","Roger Colson","1225","3750","1160","14","Oil","Canvas","United Kingdom","Artist featured in a collection","Ships in a cardboard box","sky, blue, sun, sunrise, white, chillgreen","2014.07.31","Landscape"
"https://www.saatchiart.com/art/Painting-A-Meditation/783932/2852893/view","A Meditation","Viktor Kucheryavyy","340.69","510","520","13","Oil","Canvas","Ukraine","Artist featured in a collection","Ships in a cardboard box","river, trees, water, woods, brook, fall, foliage, forest","2015.11.10","Nature"
"https://www.saatchiart.com/art/Painting-Touch/314224/1684805/view","Touch","Ad van Riel","1363.95","2590","1211","14","Oil, Acrylic","Canvas","Netherlands","Featured in Inside The Studio","Ships in a cardboard box","people, pink, purple, cloud, figures, landscape, magpie","2010.10.18","Abstract"
"https://www.saatchiart.com/art/Painting-It-is-not-my-story/385874/3494570/view","It is not my story","Veronika Opavska","3025.92","1770","25","5","Acrylic","Canvas","Czech Republic","","Ships in a tube","painting, relief, portugal, children, cutting, layers of acrylic","2010.12.31","Children"
"https://www.saatchiart.com/art/Painting-Internal-Light-collection-N-6-Original-Oil-painting-on-paper/52892/2932671/view",""Internal Light collection. Nº 6" Original Oil painting on paper","Cristina Castañeda Granja","2.4","335","900","16","Oil, Gesso","Paper","Spain","Artist featured in a collection","Ships in a cardboard box","texture, thick oil painting, green, mountains, nature","2015.05.27","Landscape"
"https://www.saatchiart.com/art/Painting-FABERGE-OLE-2016-mixed-media-on-canvas-120x90cm/122339/3025239/view","FABERGE OLE, 2016, mixed media on canvas, 120x90cm","Marc Jung","1670.88","3250","559","17","Acrylic, Oil, Spray Paint, Graphite, Pencil","Canvas","Germany","Artist featured in a collection","Ships in a crate","people, pink, red, black, skin, blue, white, woman, egg, gold, dripps, man","2015.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-Strange-Coincidence/651434/2980474/view","Strange Coincidence","Rodrigue Semabia","720","642","639","15","Acrylic, Enamel, Found Objects","Canvas","United States","Featured in the Catalog","Ships in a cardboard box","people, setup, forward, let it up, meeting","2016.05.17","Abstract"
"https://www.saatchiart.com/art/Painting-Brodgar-in-Black-Gold/11690/2104396/view","Brodgar in Black & Gold","Steven Maciver","743.4","8700","1074","20","Gold, Oil","Other","United Kingdom","Artist featured in a collection","","circles, drawing, etched, abstract, gold, landscape","2014.05.27","Abstract"
"https://www.saatchiart.com/art/Painting-X-report-36/736390/2222113/view","X-report 36","Kim Byungkwan","1646.8","5010","2455","27","Acrylic","Canvas","South Korea","Featured in Invest in Art","","portrait, star, body, vermilion, x_report","2014.04.30","Portrait"
"https://www.saatchiart.com/art/Painting-Dove-on-Cactus/97504/1654642/view","Dove on Cactus","Gerhardt Isringhaus","859.2","1340","1193","13","Oil","Canvas","Mexico","Artist featured in a collection","Ships in a cardboard box","cabo, bird, baja, california, cactus, mexico, sur, dove","2012.12.31","Nature"
"https://www.saatchiart.com/art/Painting-TRIP/415084/3290842/view","TRIP","Dumitrache Ciprian","1874.89","1450","905","13","Acrylic","Canvas","Romania","Artist featured in a collection","Ships in a crate","acrylic, trip, canvas, distance, cm, 110x110","2015.12.31","Travel"
"https://www.saatchiart.com/art/Painting-Protector-2/314224/2068946/view","Protector (2)","Ad van Riel","2216.96","3050","1031","11","Acrylic, Oil","Canvas","Netherlands","Featured in Inside The Studio","Ships in a cardboard box","beach, parasol, person, protection, blue, landscape","2006.06.25","People"
"https://www.saatchiart.com/art/Painting-Sous-les-Coquelicots-Under-the-Poppies/778264/2413616/view","Sous les Coquelicots (Under the Poppies)","Vanecha Roudbaraki","3266.56","16200","722","35","Acrylic","Canvas","France","Artist featured in a collection","Ships in a tube","painter, Iranian artist, contemporain, Vanecha, roudbaraki, Expressionnisme Artiste, poppie, modern","2013.12.31","Landscape"
"https://www.saatchiart.com/art/Painting-Sight-8/314224/2106541/view","Sight (8)","Ad van Riel","185.26","760","847","13","Oil","Paper","Netherlands","Featured in Inside The Studio","Ships in a cardboard box","people, red, view, warm, looking through, animals, landscape, landscapes","2013.07.28","Landscape"
